22, open
376, closed
379, closed
377, closed
375, closed
405, closed
12, closed
157, closed
383, closed
378, closed
380, closed
381, closed
382, closed
41, closed
29, closed
35, closed
63, closed
166, closed
42, closed
36, closed
384, closed
280, closed
385, closed
37, closed
43, closed
386, closed
38, closed
281, closed
387, closed
282, closed
388, closed
170, closed
389, closed
44, closed
171, closed
390, closed
391, closed
39, closed
392, closed
278, closed
393, closed
40, closed
394, closed
279, closed
395, closed
53, closed
396, closed
397, closed
54, closed
55, closed
398, closed
56, closed
399, closed
57, closed
310, closed
58, closed
59, closed
1, closed
60, closed
2, closed
61, closed
13, closed
62, closed
3, closed
283, closed
4, closed
83, closed
64, closed
11, closed
66, closed
5, closed
97, closed
143, closed
67, closed
6, closed
68, closed
144, closed
7, closed
145, closed
80, closed
8, closed
309, closed
298, closed
297, closed
9, closed
73, closed
69, closed
299, closed
10, closed
303, closed
300, closed
14, closed
77, closed
74, closed
15, closed
70, closed
75, closed
304, closed
16, closed
301, closed
78, closed
17, closed
71, closed
305, closed
18, closed
76, closed
79, closed
19, closed
72, closed
400, closed
20, closed
302, closed
21, closed
81, closed
307, closed
31, closed
163, closed
23, closed
308, closed
32, closed
82, closed
154, closed
164, closed
84, closed
24, closed
311, closed
85, closed
105, closed
25, closed
86, closed
87, closed
322, closed
88, closed
89, closed
34, closed
90, closed
91, closed
191, closed
232, closed
92, closed
93, closed
94, closed
109, closed
99, closed
110, closed
100, closed
101, closed
102, closed
111, closed
112, closed
103, closed
240, closed
147, closed
104, closed
199, closed
148, closed
118, closed
149, closed
150, closed
47, closed
152, closed
116, closed
274, closed
119, closed
306, closed
172, closed
325, closed
121, closed
120, closed
122, closed
49, closed
173, closed
328, closed
123, closed
174, closed
344, closed
124, closed
175, closed
314, closed
125, closed
127, closed
312, closed
315, closed
95, closed
128, closed
96, closed
129, closed
316, closed
52, closed
131, closed
98, closed
317, closed
359, closed
132, closed
107, closed
133, closed
108, closed
134, closed
33, closed
224, closed
136, closed
225, closed
137, closed
139, closed
226, closed
269, closed
227, closed
48, closed
146, closed
46, closed
233, closed
234, closed
242, closed
235, closed
236, closed
215, closed
320, closed
237, closed
238, closed
239, closed
321, closed
106, closed
250, closed
228, closed
271, closed
188, closed
229, closed
28, closed
161, closed
254, closed
189, closed
27, closed
230, closed
257, closed
190, closed
231, closed
258, closed
259, closed
117, closed
343, closed
50, closed
260, closed
318, closed
267, closed
65, closed
268, closed
204, closed
270, closed
205, closed
362, closed
206, closed
363, closed
207, closed
208, closed
365, closed
209, closed
341, closed
319, closed
30, closed
373, closed
162, closed
26, closed
210, closed
372, closed
211, closed
212, closed
255, closed
214, closed
241, closed
331, closed
243, closed
332, closed
338, closed
45, closed
244, closed
245, closed
366, closed
334, closed
246, closed
51, closed
247, closed
335, closed
357, closed
248, closed
333, closed
249, closed
336, closed
358, closed
337, closed
323, closed
339, closed
251, closed
360, closed
324, closed
252, closed
340, closed
273, closed
361, closed
326, closed
253, closed
371, closed
327, closed
364, closed
329, closed
